tweet_id,text,source,user_id,sentiment,topic,rumor_label
1,"New study suggests that drinking lemon water can cure cancer! #health #lemonwater",Twitter,123456,Positive,Health,True
2,"Breaking News: UFO spotted over New York City! Experts baffled by the sighting. #UFO #NYC",News,789012,Neutral,UFO,False
3,"Alert: Beware of fake COVID-19 vaccine scams circulating on social media. Stay informed and report suspicious activity. #COVID19 #vaccines",Government,345678,Negative,COVID-19,False
4,"Rumors circulating about a potential merger between two major tech companies. #tech #merger",Twitter,567890,Neutral,Tech,True
5,"New conspiracy theory suggests that the moon landing was faked. #conspiracy #moonlanding",Online Forum,901234,Negative,Conspiracy,True
6,"No evidence to support claims of a cure for baldness. #baldness #hairloss",News,567890,Neutral,Health,False
7,"Local community spreading rumors about a new housing development project. #community #housing",Twitter,123456,Neutral,Community,True
8,"Scientific community dismisses claims of a cure for baldness. #baldness #hairloss",Online Forum,345678,Negative,Health,False
9,"Rumors of a celebrity breakup spark controversy on social media. #celebrity #breakup",Twitter,789012,Neutral,Celebrity,True
10,"Social media platforms crackdown on fake news and misinformation. #fakenews #misinformation",News,901234,Positive,Social Media,False
11,"Breaking: Reports of a new strain of flu emerging in Asia. #flu #Asia",News,123456,Neutral,Health,False
12,"Rumors of a new iPhone model release date leaked online. #iPhone #Apple",Twitter,567890,Neutral,Tech,True
13,"Conspiracy theorists claim government cover-up of alien sightings. #conspiracy #aliens",Online Forum,901234,Negative,Conspiracy,True
14,"Scientific study debunks myths about the health benefits of coconut oil. #health #coconutoil",News,345678,Neutral,Health,False
15,"Rumors swirl about potential layoffs at a major tech company. #layoffs #tech",Twitter,789012,Neutral,Tech,True
16,"Warning: False information spreading about a recent natural disaster. #disaster #fakenews",Government,123456,Negative,Disaster,False
17,"New diet craze claims to help you lose weight fast. #diet #weightloss",Twitter,567890,Positive,Health,False
18,"Rumors of a secret government experiment gone wrong. #conspiracy #government",Online Forum,901234,Negative,Conspiracy,True
19,"Breaking: Celebrity death hoax spreads on social media. #celebrity #hoax",Twitter,345678,Neutral,Celebrity,True
20,"Rumors of a new product launch from a popular tech company. #tech #productlaunch",News,789012,Neutral,Tech,True
21,"Experts warn against following advice from unqualified health influencers. #health #influencers",Government,123456,Negative,Health,False
22,"Rumors circulate about a potential data breach at a major corporation. #databreach #security",Twitter,567890,Neutral,Security,True
23,"Viral video sparks rumors of a new viral challenge on social media. #viral #challenge",Online Forum,901234,Neutral,Social Media,True
24,"Breaking News: Government denies rumors of impending lockdown. #lockdown #government",News,345678,Neutral,Government,False
25,"Rumors of a celebrity feud escalate on social media. #celebrity #feud",Twitter,789012,Neutral,Celebrity,True
26,"Health experts debunk claims that wearing masks causes oxygen deficiency. #masks #health",Government,123456,Positive,Health,False
27,"Rumors swirl about a potential merger between two rival companies. #merger #business",Twitter,567890,Neutral,Business,True
28,"Breaking: Earthquake rumors trigger panic in local communities. #earthquake #panic",Government,901234,Negative,Disaster,False
29,"Social media platform under fire for allowing spread of fake news. #fakenews #socialmedia",News,345678,Negative,Social Media,False
30,"Rumors of a new celebrity romance sweep social media. #celebrity #romance",Twitter,789012,Neutral,Celebrity,True
31,"Health experts debunk claims of a miracle cure for arthritis. #arthritis #health",Government,123456,Negative,Health,False
32,"Rumors of a new cryptocurrency scam emerging on social media. #cryptocurrency #scam",Online Forum,567890,Negative,Cryptocurrency,True
33,"Breaking News: Politician denies rumors of corruption allegations. #corruption #politics",News,901234,Neutral,Politics,False
34,"Rumors of a new blockbuster movie franchise in the works. #movies #franchise",Twitter,345678,Neutral,Movies,True
35,"Reports of a new trend in sustainable fashion gaining traction. #fashion #sustainability",Online Forum,789012,Positive,Fashion,False
36,"Rumors swirl about a potential stock market crash. #stockmarket #crash",Twitter,123456,Neutral,Finance,True
37,"Breaking: Rumors of a new virus outbreak spark concerns. #virus #outbreak",Government,567890,Negative,Health,False
38,"Rumors of a major breakthrough in renewable energy research. #renewableenergy #research",News,901234,Positive,Environment,False
39,"Conspiracy theorists claim government manipulation of weather patterns. #conspiracy #weather",Online Forum,345678,Negative,Conspiracy,True
40,"Rumors of a new iPhone feature leaked online. #iPhone #Apple",Twitter,789012,Neutral,Tech,True
41,"Breaking News: False alarm sparks rumors of an imminent terrorist attack. #terrorism #falsealarm",Government,123456,Negative,Terrorism,False
42,"Rumors of a celebrity pregnancy sweep social media. #celebrity #pregnancy",Twitter,567890,Neutral,Celebrity,True
43,"Reports of a new trend in plant-based diets gaining popularity. #diet #plantbased",News,901234,Positive,Health,False
44,"Rumors of a new music album release from a popular artist. #music #albumrelease",Twitter,345678,Neutral,Music,True
45,"Breaking: Rumors of a new strain of flu resistant to vaccines. #flu #vaccines",Government,789012,Negative,Health,False
